매장명,주소,지역
북창,"서울 중구 남대문로1길 60 (북창동, 문치과빌딩)",서울
염창,"서울 강서구 양천로 723 (염창동, 성우빌딩)",서울
구로태평양물산,"서울 구로구 디지털로31길 12 (구로동, 태평양물산) 102동1호",서울
선릉역,"서울 강남구 테헤란로 422 (대치동, KT타워)",서울
원더스 강남,"서울 서초구 강남대로 373 (서초동, 홍우빌딩)",서울
왕십리민자역사,"서울 성동구 왕십리광장로 17 (행당동, 왕십리민자역사), 왕십리광장 1층",서울
양재사옥,"서울 서초구 남부순환로 2620 (양재동, 강남피타워)",서울
고덕역,"서울 강동구 동남로73길 17 (명일동, 우진빌딩)",서울
테크노마트,서울 광진구 광나루로56길 85 (구의동),서울
암사역,서울 강동구 올림픽로 775 (암사동),서울
등촌,"서울 강서구 공항대로 335 (등촌동, 경왕빌딩)",서울
청담,"서울 강남구 삼성로 651 (삼성동, 래미안 라클래시)",서울
응암역,"서울 은평구 은평로 85 (응암동, CJ드림시티) A-101",서울
영등포역사,"서울 영등포구 경인로 846 (영등포동, 영등포 민자역사) 3층",서울
중앙대병원,"서울 동작구 흑석로 102 (흑석동, 중앙대학교병원) 지하1층 109-1호",서울
방송통신대,"서울 종로구 대학로 86 (동숭동, 한국방송통신대학교) 소비자협동조합1층",서울
중앙보훈병원,"서울 강동구 진황도로61길 53 (둔촌동, 중앙보훈병원)",서울
광운대역,"서울 노원구 석계로 98-2 (월계동, 광운대역)",서울
사당,"서울 동작구 사당로 236 (사당동, 제일약국) 광산빌딩1층",서울
올림픽공원,"서울 송파구 올림픽로 378 (방이동, 세민빌딩)",서울
센트럴시티K,"서울 서초구 신반포로 176 (반포동, 센트럴시티빌딩) 102호",서울
쌍문역,"서울 도봉구 도봉로 468 (창동, 홍일빌딩) 101",서울
연대동문회관,"서울 서대문구 연세로 50 (신촌동, 연세대학교)",서울
양재중앙,"서울 서초구 동산로 54 (양재동, 시온빌라)",서울
중계브라운스톤,"서울 노원구 동일로203가길 29 (중계동, 브라운스톤중계)",서울
창동하나로,"서울 도봉구 마들로11길 20 (창동, 하나로클럽마트)",서울
먹골역,서울 중랑구 동일로 918 (묵동),서울
노원KT,서울 노원구 노해로 502 (상계동) 103호,서울
약수역,서울 중구 다산로 128 (신당동) 1층,서울
공릉역,"서울 노원구 동일로 1078 (공릉동, 대경상운) 1층",서울
시청역,"서울 중구 세종대로 93 (태평로2가, 광학빌딩) 1층",서울
광장,"서울 광진구 아차산로 502 (광장동, 진넥스 오딧세이) 113호",서울
구파발역,"서울 은평구 진관2로 15-40, 4호(진관동, 구파발역환승센터)",서울
동대문푸르지오시티,"서울 동대문구 왕산로 86, 1층 103호(용두동)",서울
마들,"서울 노원구 동일로 1541 105호(상계동, 주공아파트종합상가)",서울
용산센트럴,"서울 용산구 한강대로 95, 지하1층 비111호(한강로2가)",서울
역삼GS타워,"서울 강남구 논현로 508 (역삼동, GS강남타워)",서울
동대문시장,"서울 종로구 종로 266 (종로6가, 동대문종합시장)",서울
뉴코아강남,"서울 서초구 잠원로 69 (잠원동, 킴스클럽)B1층",서울
서울대병원,"서울 종로구 대학로 101 (연건동, 서울대학교병원) 지하 1층 1호",서울
상암DMC역사,"서울 마포구 성암로 지하 184 (상암동, 공항철도 디지털미디어시티역)",서울
마곡나루역사,"서울 강서구 마곡중앙로 지하 135 (마곡동, 마곡나루역) 역사 B1층",서울
길음뉴타운,"서울 성북구 길음로7길 6 (길음동, 길음뉴타운9단지래미안 상가) 길음뉴타운 제상가동 제1층제1-17호",서울
신도림홈플러스,"서울 구로구 경인로 661 (신도림동, 신도림1차푸르지오) 지하 1층",서울
목동이마트,"서울 양천구 목동서로 170 (목동, 홈플러스목동점)",서울
공항철도홍대역사,"서울 마포구 양화로 지하 188 (동교동, 홍대입구역)",서울
부영태평빌딩,"서울 중구 세종대로 55 (태평로2가, 부영 태평빌딩) 지하 1층",서울
강남고속터미널,"서울 서초구 신반포로 194 (반포동, 강남고속버스터미널)고속버스터미널상가40,41호",서울
반포자이,"서울 서초구 신반포로 지하 200 (잠원동, 강남터미널지하쇼핑몰)",서울
영등포역사2호,"서울 영등포구 경인로102길 13 (영등포동, 영등포경찰서 영등포역파출소) 영등포역사지하1층",서울
김포공항국내선,서울 강서구 하늘길 112 (공항동) 김포공항 국내선터미널 2층,서울
김포공항국제선,"서울 강서구 하늘길 38 (방화동, 김포공항, 롯데몰, 스카이시티), 김포공항국제청사 1층",서울
서울역서부,서울 중구 만리재로 211 (만리동1가),서울
구로개봉,서울 구로구 개봉로 7 (개봉동) 1층 101호,서울
삼성GEC,"서울 강동구 상일로6길 26 (상일동, 삼성엔지니어링)지하1층",서울
신정네거리,서울 양천구 신월로 289 (신정동) 1층 102호,서울
중곡,서울 광진구 중곡동 241-15,서울
포포인츠쉐라톤구로,"서울 구로구 디지털로32길 72 (구로동, 포포인츠바이쉐라톤서울구로)",서울
신풍역,"서울 영등포구 신길로 59 (신길동, 샘탑빌딩) 1층",서울
이문,서울 동대문구 신이문로 6 (이문동),서울
DD SPC 스퀘어,"서울 강남구 강남대로 352 (역삼동), 지상 2층(역삼동)",서울
송파사거리,"서울 송파구 송파대로 388 (송파동, 창영빌딩)",서울
군자역,"서울 광진구 능동로 281-1 (군자동), 1층",서울
상도,"서울 동작구 상도로30길 40 (상도동, 상도2차두산위브트레지움아파트)",서울
장안중앙,서울 동대문구 사가정로25길 60 (장안동),서울
수서역사,"서울 강남구 광평로 지하 270 (수서동, 수서역)",서울
건대입구역,"서울 광진구 능동로 110 (화양동, 스타시티영존빌딩)",서울
경복궁역,"서울 종로구 새문안로5가길 33 (내자동, 포레스트 빌딩), 1층",서울
홍대역,"서울 마포구 양화로 157 (동교동, 파라다이스텔)",서울
가든파이브,"서울 송파구 충민로 66 (문정동, 가든파이브라이프), 1층 L-1050호",서울
송파방이,서울 송파구 오금동 19-2,서울
마곡역,"서울 강서구 마곡서로 56 (마곡동, 마곡에스비타워Ⅲ)",서울
강동구청역,"서울 강동구 올림픽로 552 (성내동, 홍익빌딩), 홍익빌딩1층 1호(성내동)",서울
아현뉴타운,"서울 마포구 마포대로 173-14 (아현동, 마포 센텀 슬로우스퀘어)",서울
화곡역,"서울 강서구 화곡로 164 (화곡동, 화곡빌딩)",서울
현대아이파크타워,"서울 강남구 영동대로 520 (삼성동, 아이파크타워)",서울
LG트윈타워,서울 영등포구 여의대로 128 (여의도동),서울
금천독산,서울 금천구 독산로 203 (독산동),서울
원더스 청담,서울 강남구 도산대로 329 (신사동),서울
서대문홍은,"서울 서대문구 가좌로 146 (홍은동, 태향빌딩)",서울
용산이마트,"서울 용산구 한강대로23길 55 (한강로3가, 용산역)",서울
신림양지병원,"서울 관악구 남부순환로 1636 (신림동, 양지병원)",서울
관악현대,서울 관악구 은천로 105 (봉천동),서울
연세안과병원,"서울 서대문구 연세로 50-1 (신촌동, 세브란스병원)",서울
양천구청센트럴,"서울 양천구 목동서로 349 (신정동, 센트럴프라자)",서울
서울역트윈시티,"서울 용산구 한강대로 366 (동자동, 트윈시티 남산)",서울
불광역,서울 은평구 통일로 712 (불광동),서울
잠원,"서울 서초구 잠원로 204 (잠원동, 한신상가훼미리)",서울
은평성모병원,서울 은평구 통일로 1021 (진관동),서울
연신내역,서울 은평구 연서로 220 (대조동),서울
문래,"서울 영등포구 당산로 45 (문래동3가, 삼성골프클럽)",서울
삼육서울병원,"서울 동대문구 망우로 82 (휘경동, 삼육서울병원, 삼육보건대학교)",서울
홍제역,서울 서대문구 통일로 428-1 (홍제동),서울
마곡양천향교역,서울 강서구 마곡중앙8로1길 81 (마곡동),서울
원더스 서울역,"서울 용산구 청파로 378 (동자동, 한국철도공사)",서울
센텀시티홈플러스,"부산 해운대구 센텀동로 6 (우동, 홈플러스센템시티점) 1층",부산
홈플러스아시아드,"부산 연제구 종합운동장로 7 (거제동, 부산아시아드주경기장노외주차장) 지하2층",부산
해운대역사,"부산 해운대구 해운대로 지하 626 (우동, 부산지하철 해운대역)",부산
부산부민병원,"부산 북구 만덕대로 59 (덕천동, 부민병원)",부산
부산시청역사,"부산 연제구 중앙대로 지하 1017 (연산동, 도시철도 시청역)",부산
홈플러스기장정관,"부산 기장군 정관읍 정관5로 50 (매학리, 정관 홈플러스)",부산
부산동래역,"부산 동래구 충렬대로 154 (온천동), 1층 일부호",부산
부산역라마다,"부산 동구 중앙대로196번길 10 (초량동, 부산역라마다앙코르호텔) 104호, 205호. 206호",부산
부산서면,부산 부산진구 가야대로 779 (부전동),부산
센텀KNN,"부산 해운대구 센텀서로 30 (우동, 케이엔엔타워)",부산
트레이더스 연산,부산 연제구 연산동 137-5,부산
부산거제역,부산 연제구 거제동 23-6,부산
부산구서,부산 금정구 구서로 20 (구서동),부산
사상터미널,"부산 사상구 사상로 201 (괘법동, 서부시외버스터미널)",부산
부산동대신,"부산 서구 구덕로 331 (서대신동3가), 1층(서대신동3가)",부산
부산온천장역,"부산 동래구 중앙대로 1523 (온천동, SKHUBSKY)",부산
부산세웅병원,"부산 금정구 서동로 162 (서동, 세웅병원)",부산
하단아트몰링,"부산 사하구 낙동남로 1413 (하단동, 아트몰링)",부산
부산화명,"부산 북구 금곡대로285번길 30 (화명동) 105,106호",부산
부산덕천,부산 북구 만덕대로16번길 7 (덕천동),부산
부산명지오션시티,"부산 강서구 명지오션시티4로 70 (명지동, NC TOWER)",부산
경성대부경대역사,"부산 남구 수영로 지하 324 (대연동, 경성대 부경대역)",부산
서면역,"부산 부산진구 중앙대로 지하 730 (부전동, 서면역)",부산
부산개금역,"부산 부산진구 가야대로 459 (개금동, 미래여성병원)",부산
부산종합운동장역,"부산 연제구 아시아드대로 89 (거제동, 주안타워)",부산
부산미래병원,"부산 동래구 충렬대로 358 (안락동, 미래병원)",부산
대구본리,대구 달서구 장기로 193 (본리동),대구
화원하나로,"대구 달성군 화원읍 성천로 9 (설화리, 농협달성유통센터)",대구
대구NC아울렛,"대구 북구 유통단지로14길 22 (산격동, 일반의류관) NC아울렛1층",대구
대구롯데마트,"대구 동구 안심로 80 (율하동, 롯데쇼핑프라자) 롯데마트율하점1층",대구
성서홈플러스,대구 달서구 달구벌대로 1467 (용산동),대구
수성홈플러스,대구 수성구 두산동 113 수성SK리더스뷰지하1층108동,대구
동대구역사,"대구 동구 동대구로 550 (신암동, 동대구역) 구맞이방",대구
대구신월성,"대구 달서구 조암로 29 (월성동, 월성동이래타워)",대구
대구중앙로역,"대구 중구 국채보상로 지하 580 (동성로2가, 대현프리몰)",대구
대백프라자,"대구 중구 명덕로 333 (대봉동, 대백프라자) 식품관",대구
대구신천,"대구 동구 장등로 20 (신천동),2층",대구
대구혁신,"대구 동구 경안로 855 (각산동, 라온프라자)",대구
대구평리,대구 서구 국채보상로 293 (평리동),대구
대구KB빌딩,"대구 수성구 달구벌대로 2397 (범어동, KB손해보험 대구빌딩)",대구
대구대곡,"대구 달서구 도원로 17 (도원동), 1층",대구
대구남산,"대구 중구 달구벌대로 1960 (남산동, 남산휴먼시아1단지아파트), 상가동 102호",대구
대구광장,"대구 서구 달구벌대로 1691 (내당동), 엠프라자하 101호",대구
대구침산,대구 북구 침산남로 180-6 (침산동),대구
한영아동병원,"대구 남구 월배로 468 (대명동, 한영유니죤빌딩), 103호",대구
대구성서롯데,"대구 달서구 성서로 414 (이곡동, 성서롯데시네마), 108호",대구
대구대천,"대구 달서구 조암남로32길 20-4 (대천동), 102호",대구
대구공항국내선,"대구 동구 공항로 221 (지저동, 대구국제공항)",대구
대구은행역,대구 수성구 수성로 377 (수성동1가),대구
대구이시아,대구 동구 팔공로51길 15-11 (봉무동),대구
현풍테크노,"대구 달성군 유가읍 테크노상업로 120 (봉리, 엠스퀘어플러스)",대구
칠곡경북대병원,"대구 북구 호국로 807 (학정동, 칠곡경북대학교병원)",대구
대구구지,대구 달성군 구지면 과학마을로 47 (응암리),대구
칠곡홈플러스,"대구 북구 동암로12길 8 (동천동, 칠곡홈플러스)",대구
계명대동산병원,"대구 달서구 달구벌대로 1035 (신당동, 계명대학교동산병원)",대구
대구대실역,대구 달성군 다사읍 대실역남로 16 (죽곡리),대구
인천구월로,"인천 남동구 용천로 68 (구월동, (주)발해인터내셔날) 써니프라자1층",인천
간석홈플러스,"인천 남동구 경원대로 971 (간석동, 홈플러스) 2층",인천
부평동아,인천 부평구 부평문화로 42 (부평동) 부신빌딩102호,인천
제물포역사,"인천 남구 경인로 129 (숭의동, 제물포 역사)",인천
검암역사,인천 서구 검바위로 26 1층 6호 검암역 환승통로(검암동),인천
인천남동공단,인천 남동구 남동대로 258 (논현동),인천
인천신현,인천 서구 가정로394번길 2 (가정동),인천
인천사랑병원,"인천 미추홀구 미추홀대로 726 (주안동, 인천사랑병원)",인천
인천신논현,"인천 남동구 논고개로 88 (논현동, 모두병원) 1층",인천
송도센트럴,"인천 연수구 센트럴로 160 (송도동, 송도센트럴파크푸르지오) 1층",인천
영종도운남,인천 중구 운남동 1602-11,인천
공항철도검암역,"인천 서구 검바위로 26 (검암동, 검암역(공항철도))",인천
인천W병원,인천 미추홀구 인주대로 396 (주안동),인천
인천서창,인천 남동구 서창남로 52 (서창동) 경성프라자 1층 101호,인천
인천당하,"인천 서구 원당대로 663 (마전동, 한종프라자)",인천
인천청라,"인천 서구 청라에메랄드로 99 (청라동, 지젤엠청라)",인천
석바위시장역,인천 미추홀구 경원대로834번길 27-12 (주안동),인천
인천작전,인천 계양구 계양대로 45 (작전동),인천
인천신동춘,"인천 연수구 앵고개로246번길 10 (동춘동, 대산프라자) 1층101호",인천
인천영종,"인천 중구 하늘중앙로225번길 3 (중산동, 영종M타워)",인천
T1인천공항키오스크,"인천 중구 공항로 272 (운서동, 인천공항)",인천
T2인천공항센트럴,인천 중구 제2터미널대로 446 (운서동),인천
부평삼산,"인천 부평구 길주로 659 (삼산동, 미라쥬타워)",인천
인천검단,"인천 서구 이음대로 378 (원당동, 로뎀타워)",인천
부평롯데마트,"인천 부평구 마장로 296 (산곡동, 롯데마트 부평점)",인천
부평세림병원,"인천 부평구 부평대로 175 (청천동, 세림병원)",인천
검단중앙역,"인천 서구 고산후로 279 (불로동, 현해타워3)",인천
송도신도시,"인천 연수구 신송로 122 (송도동, 송도프라자)",인천
송도랜드마크시티,"인천 연수구 랜드마크로 68 (송도동, 랜드마크시티센트럴더샵)",인천
인하대병원,"인천 중구 인항로 27 (신흥동3가, 인하대학병원)",인천
인천용현,인천 미추홀구 낙섬중로 17 (용현동),인천
청라홈플러스,"인천 서구 중봉대로 587 (청라동, 홈플러스 인천청라점)",인천
인천공항T1,"인천 중구 공항로 272 (운서동, 인천공항)",인천
인천공항탑승동,"인천 중구 공항로 272 (운서동, 인천공항)",인천
T2인천공항스카이,인천 중구 제2터미널대로 446 (운서동),인천
송도더스카이,"인천 연수구 인천타워대로 365 (송도동, 힐스테이트 송도 더스카이)",인천
광주월드컵,"광주 서구 금화로 278 (풍암동, 종합체육관)",광주
광주전남대병원,광주 동구 제봉로 41 (학동),광주
광주첨단롯데마트,"광주 광산구 첨단강변로99번길 22 (쌍암동, 롯데마트)",광주
광주오치,광주 북구 설죽로 348 (오치동),광주
광주기독병원,광주 남구 양림로 37 (양림동),광주
광주수완,광주 광산구 임방울대로 330 (수완동) 1층 101호,광주
광주동림,광주 서구 하남대로 692 (동천동),광주
광주금호,"광주 서구 풍금로 165 (금호동, 금암빌딩), 1층",광주
광주봉선,광주 남구 봉선중앙로 13 (봉선동) 1층,광주
광주하남,"광주 광산구 용아로 259 (산정동, 하남성심병원) B동 101호",광주
광주이마트,"광주 서구 죽봉대로 61 (화정동, 광주 이마트)",광주
광주아이맘병원,"광주 북구 하서로 400 (양산동, 아이맘아동병원)",광주
전남대,광주 북구 우치로 80 (용봉동),광주
광주첨단,광주 광산구 첨단중앙로170번길 54 (쌍암동),광주
광주상무,"광주 서구 상무중앙로 29 (치평동, 한산빌딩)",광주
광주진월,광주 남구 서문대로 671 (진월동),광주
광주터미널,"광주 서구 무진대로 904 (광천동, 유스퀘어(광천터미널))",광주
광주신용,광주 북구 첨단연신로91번길 6 (신용동),광주
대전터미널서관,"대전 동구 동서대로 1689 (용전동, 대전복합터미널(서관))",대전
대전전민,대전 유성구 유성대로 1754 (전민동),대전
대전유성홈플러스,"대전 유성구 한밭대로 502 (봉명동, 홈플러스)",대전
대전자생병원,대전 서구 탄방동 644,대전
대전보훈병원,"대전 대덕구 대청로82번길 147 (신탄진동, 대전보훈병원)",대전
대전역사,"대전 동구 중앙로 215 (정동, 대전역)",대전
대전노은,"대전 유성구 노은로 150 (지족동, 드래곤랜드) 1층 103호,104호",대전
대전타임월드,대전 서구 둔산로31번길 10-23 (둔산동),대전
대전관저,대전 서구 관저로 172 (관저동) 1층 105호,대전
대전도안,"대전 유성구 상대복용로29번길 52 (상대동, 대전아이파크시티 1단지), 39-40호",대전
대전효동,"대전 동구 계족로 10 (효동), 1층",대전
대전신탄진,대전 대덕구 대덕대로 1600 (석봉동),대전
대전관평,대전 유성구 테크노중앙로 50 (관평동) B동 지상 1층 103호,대전
대전목동,대전 중구 목중로 7 (목동),대전
대전패션아일랜드,"대전 동구 은어송로 72 (가오동, 패션아일랜드)",대전
충남대,"대전 유성구 대학로 86 (궁동, 포커스타운)",대전
대전태평,"대전 중구 태평로 71 (태평동, 삼부프라자)",대전
대전카이스트,"대전 유성구 대학로 291 (구성동, 한국과학기술원)",대전
대전송촌,대전 대덕구 송촌북로 42 (송촌동),대전
한남대,대전 대덕구 홍도로 136 (중리동),대전
울산하나로,"울산 북구 진장유통로 90 (진장동, 농사산물종합유통센터)",울산
울산언양,울산 울주군 언양읍 헌양길 167 (서부리),울산
울산반구,울산 중구 번영로 482 (반구동),울산
울산무거,울산 남구 대학로 161 (무거동),울산
울산성남,울산 중구 옥교동 84-5,울산
울산동구홈플러스,"울산 동구 방어진순환도로 637 (일산동, 홈플러스) 홈플러스울산동구점 1층",울산
울산원예농협하나로,"울산 울주군 범서읍 장검길 10 (굴화리, 울산원예농협하나로마트)",울산
메가마트울산,"울산 북구 진장17길 10 (진장동, 신선도원몰) 1층",울산
울산역사,"울산 울주군 삼남읍 울산역로 177 (신화리, 울산역)",울산
울산이마트,"울산 남구 남중로 48 (삼산동, 울산점 EMART)",울산
울산매곡,울산 북구 매산로 92-15 (매곡동),울산
세종연구단지,"세종특별자치시 null 세종특별자치시 시청대로 370 (반곡동, 나라키움 세종국책연구단지) A동 1층",세종
세종고운,"세종특별자치시 null 세종특별자치시 마음안1로 137 (고운동, 가락마을18단지 근린생활시설) 5동 106호, 107호",세종
세종보람,"세종특별자치시 null 세종특별자치시 한누리대로 2165 (보람동, 호려울마을7단지 근린생활시설)",세종
세종나성,"세종특별자치시 null 세종특별자치시 나성북로 30 (나성동, 퍼스트원), 1층 187,188",세종
세종정부청사,"세종특별자치시 null 세종특별자치시 한누리대로 496 (어진동, 세종 리슈빌S) 1층",세종
세종아름,"세종특별자치시 null 세종특별자치시 보듬3로 100 (아름동, 해피라움1)",세종
일산후곡,경기 고양시 일산서구 일산로 550 (일산동),경기
광명사거리역,"경기 광명시 광명로 898 (광명동, 광명빌딩) 1층",경기
김포양촌,"경기 김포시 양촌읍 황금로 117 (학운리, 이젠몰)",경기
평촌,경기 안양시 동안구 평촌동 167,경기
백석역,"경기 고양시 일산동구 중앙로 1047 (백석동, 영림브레아오피스텔) 109호",경기
원당역사,"경기 고양시 덕양구 고양대로 1429 (성사동, 원당역)",경기
행신역,"경기 고양시 덕양구 무원로6번길 36 (행신동, 남정씨티프라자6차)105호",경기
마석롯데마트,경기 남양주시 화도읍 경춘로 1992 (마석우리) 롯데마트내1층,경기
일산풍동,"경기 고양시 일산동구 숲속마을1로 76 (풍동, 힘찬프라자)",경기
마석우리,"경기 남양주시 화도읍 비룡로 62 (마석우리, 중앙프라자) 105호",경기
평택민자역사,"경기 평택시 평택로 51 (평택동, 평택민자역사) 3층던킨도넛AK플라자",경기
산본역,"경기 군포시 산본로323번길 13 (산본동, 군포상가) 101",경기
안산고잔,"경기 안산시 단원구 광덕대로 151 (고잔동, 삼영타운) 122호",경기
성남태평,"경기 성남시 수정구 성남대로 1254 (태평동, 낙원스카이뷰2)",경기
수원정자,경기 수원시 장안구 대평로 80 (정자동) 정연메이져105호,경기
산본수리,"경기 군포시 고산로 515 (산본동, GS휘트니스클럽빌딩) 107호",경기
수원대,경기 화성시 봉담읍 와우리 62-4,경기
분당아름마을,"경기 성남시 분당구 판교로 446 (이매동, 그린프라자) 102~103호",경기
기흥휴게소,"경기 용인시 기흥구 공세로 173 (공세동, 기흥휴게소)",경기
용인휴게소상행,경기 용인시 처인구 고림동 88-1,경기
용인휴게소하행,경기 용인시 처인구 고림동 12-6,경기
시흥은행,"경기 시흥시 은행로155번길 11 (은행동, 한별프라자)",경기
가천대,"경기 성남시 수정구 성남대로 1342 (복정동, 가천대학교)",경기
용인마북,경기 용인시 기흥구 마북로 152 (마북동),경기
이천터미널,"경기 이천시 이섭대천로 1200 (중리동, 종합버스터미널) 1층",경기
오산세교,"경기 오산시 수청로 188 (금암동, 롯데슈퍼), 롯데슈퍼 110",경기
이천장호원,경기 이천시 장호원읍 샘재로 159 (장호원리) 1층~2층,경기
안산원곡,"경기 안산시 단원구 라성로 43 (원곡동, 벽산블루밍아파트)",경기
영통홈플러스,"경기 수원시 영통구 봉영로 1576 (영통동, 영통홈플러스) 1층",경기
수원하나로,"경기 수원시 권선구 서부로 1937 (구운동, 농협하나로클럽) 1층",경기
서수원이마트,"경기 수원시 권선구 수인로 291 (구운동, 서수원버스터미널) 이마트1층",경기
서울랜드,"경기 과천시 광명로 181 (막계동, 서울랜드)",경기
김포통진,경기 김포시 통진읍 조강로 45 (마송리),경기
가평,경기 가평군 가평읍 보납로 25 (읍내리),경기
포천이마트,경기 포천시 호국로 915 (설운동) 이마트내 1층,경기
양주이마트,"경기 양주시 평화로 1713 (회정동, 이마트) 1층",경기
포천신읍,"경기 포천시 중앙로119번길 2 (신읍동, 한빛빌딩)",경기
의정부중앙,경기 의정부시 평화로 544 (의정부동) 1층,경기
분당서현1호,"경기 성남시 분당구 중앙공원로40번길 4, 121호 (서현동, 현대카스올림픽골프파크)",경기
회룡역,"경기 의정부시 평화로 359 101호 (호원동, 회룡한주아파트상가)",경기
지샘병원,경기 안양시 만안구 안양로 211 301호(안양동),경기
부천상동,"경기 부천시 상동 534-6 비잔티움 상동 112,113호",경기
운정야당,경기 파주시 야당동 1070,경기
남양주별내,"경기 남양주시 별내중앙로 26 (별내동)101호(별내동, 진영N타워1)",경기
화성시청,경기 화성시 남양읍 시청로 121 (남양리)환진빌딩 101호,경기
시흥하늘휴게소,경기 시흥시 서울외곽순환고속도로 106 (조남동) 2층 214호,경기
광주능평,경기 광주시 오포읍 능평로 63 (능평리),경기
분당파크뷰,"경기 성남시 분당구 정자일로 248 (정자동, 파크뷰) 파크뷰상가113",경기
시흥하중,경기 시흥시 하중동 856-3,경기
용인쥬네브,"경기 용인시 기흥구 동백죽전대로 444 (중동, 쥬네브썬월드빌딩)4층 4081, 4082호",경기
파주운정,경기 파주시 청암로17번길 55 (목동동),경기
성남이마트,"경기 성남시 수정구 수정로 201 (태평동, 신세계쉐덴) 1층",경기
수원컨벤션센터,"경기 수원시 영통구 광교중앙로 140 (하동, 수원컨벤션센터) 1층",경기
인덕원역사,"경기 안양시 동안구 흥안대로 지하 529 (관양동, 인덕원역)",경기
구리갈매,"경기 구리시 갈매중앙로 89-10 (갈매동), 송원빌딩 105호",경기
미사역,경기 하남시 미사강변한강로 290 모노라운지 108호,경기
김포마산,"경기 김포시 김포한강8로 167 (마산동), 이루프라자 1층 106호",경기
가평휴게소(상),경기 가평군 설악면 미사리로 544 (미사리),경기
가평휴게소(하),경기 가평군 설악면 미사리로540번길 51 (미사리),경기
용인한숲시티,"경기 용인시 처인구 남사면 한숲로 84 (완장리, e편한세상 용인 한숲시티)",경기
성남하대원,"경기 성남시 중원구 둔촌대로 274 (하대원동, 태연스카이빌)1층 105호",경기
시흥휴게소,경기 시흥시 서울외곽순환고속도로 105 (조남동),경기
평택용죽,경기 평택시 용이동 684-1,경기
수원월드컵,"경기 수원시 팔달구 창룡대로210번길 41 (우만동, 월드컵스포츠센터)",경기
NC고잔,"경기 안산시 단원구 광덕대로 194 (고잔동, 2001아울렛) 스타맥스타워2 1층",경기
죽전역사,경기 용인시 수지구 죽전동 1286,경기
파주임진각,경기 파주시 문산읍 임진각로 148-73 (마정리),경기
