매장명,주소,지역
광주신현,경기 광주시 오포읍 신현리 699-3 삼승빌딩 1층,경기
광주곤지암,"경기 광주시 곤지암읍 평촌길 36 (삼리, 극동빌딩)",경기
서하남휴게소,경기 하남시 서울외곽순환고속도로 19 (춘궁동) 서하남휴게소,경기
전곡터미널,경기 연천군 전곡읍 온골로 54 (전곡리),경기
수내역,경기 성남시 분당구 백현로101번길 21 (수내동),경기
용인역북,경기 용인시 처인구 명지로60번길 8-14 (역북동),경기
동두천지행,"경기 동두천시 지행로 65 (지행동, 동현빌딩) 101호",경기
동탄제일병원,"경기 화성시 삼성1로 130 (석우동, 세정인디안타워)",경기
부천시청,"경기 부천시 길주로 246 (중동, 부천중동리슈빌엔클래스) 104A호",경기
분당차병원,경기 성남시 분당구 야탑동 351 분당차병원 1층,경기
마장휴게소(하),경기 이천시 마장면 중부고속도로 82 (목리),경기
일산중산,경기 고양시 일산동구 고양대로 762 (중산동),경기
배곧아브뉴프랑,"경기 시흥시 서울대학로278번길 8 (정왕동, 시흥배곧 아브뉴프랑 센트럴 레드)",경기
평택고덕궁리,경기 평택시 고덕면 궁2길 68-1 (궁리),경기
판교테크노밸리,"경기 성남시 분당구 판교로255번길 9-22 (삼평동, 판교 우림 W-CITY)",경기
평택포승,경기 평택시 포승읍 여술로 20 (도곡리),경기
화성삼성전자2호,경기 화성시 삼성전자로 1 (반월동),경기
시흥능곡,"경기 시흥시 승지로59번길 12 (능곡동, 시티타워)",경기
화성삼성전자1호,"경기 화성시 삼성전자로 1 (반월동),(207) 매점-4(반월동)",경기
의정부녹양,경기 의정부시 녹양동 412-8,경기
수지구청,"경기 용인시 수지구 수지로296번길 51-10 (풍덕천동, 정석빌딩)",경기
기흥삼성전자K1,"경기 용인시 기흥구 삼성로 1 (농서동, 삼성전자(주)기흥캠퍼스)",경기
파주문산,"경기 파주시 문산읍 문산로 43 (문산리, 패밀리마트)",경기
의정부고산,경기 의정부시 산곡동 254-1,경기
화성봉담,경기 화성시 봉담읍 동화길 85 (동화리),경기
김포사우,"경기 김포시 돌문로 49 (사우동), 원정빌딩 1층 일부호(사우동)",경기
평택동삭,경기 평택시 상서재로2길 56-10 (동삭동),경기
안양동안,"경기 안양시 동안구 시민대로159번길 25 (비산동, Festa via), 1층",경기
기흥테라타워,"경기 용인시 기흥구 서천로201번길 11 (농서동, 기흥 테라타워 지식산업센터), 기흥테라타워 지하1",경기
김포장기,"경기 김포시 김포한강1로51번길 20 (장기동, 산타마리아),산타마리아상가 111호",경기
삼성미래기술캠퍼스,"경기 수원시 영통구 삼성로 130 (매탄동, 삼성전자공업단지)",경기
남양주장현,"경기 남양주시 진접읍 장현로47번길 6-2 (장현리, 우성코아)",경기
안성아양,경기 안성시 아양1길 18 (석정동),경기
안양역,"경기 안양시 만안구 안양로314번길 20 (안양동), 1층(안양동)",경기
포천송우리,경기 포천시 소흘읍 솔모루로 75 (송우리),경기
안양호계,"경기 안양시 동안구 호계동 943-16, 1층 104호",경기
분당효자촌,"경기 성남시 분당구 불정로 381 (서현동, 효자촌동진프라자), 1006,1007호",경기
부천역곡,"경기 부천시 경인로 482 (괴안동, 베르포레아파트), 101-102호",경기
고덕로데오,경기 평택시 고덕동 1886-3,경기
안산선부,경기 안산시 단원구 선부동 1081,경기
파주금릉,"경기 파주시 금빛로 27 (금촌동, 광장프라자)",경기
시흥장곡,경기 시흥시 장곡동 818-1,경기
성복역파크나인(휴점),"경기 용인시 수지구 성복1로 13 (성복동, 성복역 롯데캐슬 파크나인)",경기
성남금광,경기 성남시 중원구 광명로323번길 6 (금광동),경기
하남미사강변,"경기 하남시 미사강변대로226번길 26 (망월동, 미사원프라자), 1층 113호, 114호",경기
평택고덕,"경기 평택시 고덕여염12길 184 (고덕동), 1층",경기
고양하나로,경기 고양시 일산서구 대화로 362 고양하나로마트내 (대화동),경기
광명철산,"경기 광명시 철산로 24 (철산동, 다인빌딩)",경기
하남중앙미사역,"경기 하남시 미사강변중앙로204번길 22 (망월동, 미사 마이움 센트럴 아케이드)",경기
여주오학,"경기 여주시 도예로 97 (오학동), 1층",경기
양평만남의광장,경기 양평군 양서면 경강로 954 (대심리),경기
수원매교,경기 수원시 권선구 효원로94번길 1 (세류동),경기
광주태전,"경기 광주시 태전동로 23 (태전동, 메디프라자) 1층 102호",경기
평택비전,"경기 평택시 비전5로 20-18 (비전동, 가로수빌딩) 101호",경기
오산이마트,"경기 오산시 경기대로 181 (원동, 오산이마트), 3층 일부",경기
원흥역,"경기 고양시 덕양구 권율대로 685 (원흥동, SIB 타워), 1층 103~4호",경기
김포운양역,경기 김포시 운양동 1299-1,경기
평촌학원가,"경기 안양시 동안구 평촌대로 136 (평촌동, 신세기타운)",경기
걸포북변역,"경기 김포시 걸포로 6 (걸포동, 케이탑리츠 김포빌딩)",경기
흥덕이마트,"경기 용인시 기흥구 흥덕중앙로 60 (영덕동, 이마트)",경기
일산식사,"경기 고양시 일산동구 위시티로 32 (식사동, 위시티스퀘어)",경기
위례호반,"경기 성남시 수정구 위례동로 135 (창곡동, 신성위캐슬타워) 1층 107호",경기
화성향남,"경기 화성시 향남읍 행정중앙2로 63-3 (행정리), 1층 107호",경기
인덕원IT,"경기 의왕시 이미로 40 (포일동, 인덕원IT밸리) D동 D110호",경기
양평중앙,경기 양평군 양평읍 역전길 8 (양근리),경기
고양휴게소(하),"경기 고양시 덕양구 수원문산고속도로 52 (성사동, 고양휴게소(하행))",경기
안성의료원,경기 안성시 남파로 101 (당왕동) 102호,경기
죽전보정,"경기 용인시 기흥구 보정로 117 (보정동, 리베로3), 1층 124,125호",경기
동탄나루마을,"경기 화성시 동탄솔빛로 64 (반송동, 가희프라자2)",경기
고양더자인병원,"경기 고양시 덕양구 중앙로 555 (행신동, 자인상가타운)",경기
남한강휴게소,경기 양평군 강상면 중부내륙고속도로 298 (병산리),경기
파주운정이마트,"경기 파주시 한울로 123 (동패동, 이마트운정점)",경기
운정초롱꽃마을,경기 파주시 양지로 131 (동패동),경기
김포구래,"경기 김포시 김포한강9로75번길 180 (구래동, 두원타워)",경기
동탄역,"경기 화성시 동탄대로 489 (오산동, 동탄역우성타워)",경기
원광종합병원,경기 화성시 화산북로 21 (송산동),경기
자유로휴게소,"경기 파주시 자유로 2210 (문발동, 자유로휴게소)",경기
양주휴게소,"경기 양주시 장흥면 수도권제1순환고속도로 58 (삼하리, 양주간이휴게시설)",경기
용인동천,"경기 용인시 수지구 손곡로 107 (동천동, 대영프라자)",경기
남양주다산,경기 남양주시 다산동 6054-1,경기
수원인계,"경기 수원시 팔달구 권광로 184 (인계동, 캐슬타워)",경기
양주덕정,경기 양주시 회정로 107 (덕정동),경기
안성공도,경기 안성시 공도읍 공도로 83 (만정리),경기
수원능실마을,경기 수원시 권선구 호매실로90번길 98 (호매실동),경기
수원호매실,"경기 수원시 권선구 금곡로 106 (금곡동, 우성메디피아)",경기
시흥은계,"경기 시흥시 은계로142번길 3-15 (은행동, 블랙스프라우트(Black Sprout))",경기
광명하안,"경기 광명시 범안로 1055 (하안동, 세일빌딩)",경기
삼송하나로,"경기 고양시 덕양구 동송로 20 (동산동, 삼송농산물종합유통센터)",경기
남양주호평,경기 남양주시 호평동 640-2,경기
웅진플레이도시,"경기 부천시 원미구 조마루로 2 (상동, 부천체육문화센타)",경기
양평용문,"경기 양평군 용문면 용문로 359-2 (다문리, 델 에스떼)",경기
동탄하나로,경기 화성시 동탄순환대로27길 30 (영천동),경기
운정로데오,"경기 파주시 경의로 1240 (와동동, 운정역 센트럴 하이뷰)",경기
오산에어베이스,경기 평택시 쇼핑로 2 (신장동),경기
평택험프리스DSC,경기 평택시 팽성읍 안정순환로 118 (안정리),경기
평택험프리스모닝캄,경기 평택시 팽성읍 안정순환로 118 (안정리),경기
군포당동,"경기 군포시 고산로 256 (당동, 금강프라자)",경기
광명역사,"경기 광명시 광명역로 21 (일직동, 고속철도 광명역)",경기
평택청북,경기 평택시 청북읍 청북남로 254 (옥길리),경기
시흥정왕,"경기 시흥시 정왕대로 230 (정왕동, 제일프라자)",경기
송산포도휴게소,"경기 화성시 송산면 평택시흥고속도로 25 (고정리, 송산포도휴게소)",경기
동탄호수공원,"경기 화성시 동탄순환대로 127-9 (산척동, 우성애비뉴타워)",경기
하남감일,"경기 하남시 감일중앙로 80 (감이동, 감일 푸르지오 마크베르)",경기
오산휴게소(하행),"경기 오산시 수도권제2순환고속도로 14 (금암동, 오산휴게소 (동탄방향))",경기
오산휴게소(상행),경기 오산시 지곶동 산 58-1,경기
수원터미널,"경기 수원시 권선구 경수대로 270 (권선동, 터미널동, 할인점동)",경기
양주옥정,"경기 양주시 옥정로 196 (옥정동, 파스텔시티)",경기
대화역,"경기 고양시 일산서구 중앙로 1559 (대화동, 씨티타워)",경기
파주교하,"경기 파주시 청석로 266 (동패동, 스타프라자)",경기
광명중앙대병원,경기 광명시 일직동 501-4,경기
안양관양,경기 안양시 동안구 관평로 296 (관양동),경기
김포풍무역,경기 김포시 유현로238번길 36 (풍무동),경기
부천원종역,"경기 부천시 오정구 소사로 742 (원종동, 세라메디컬센터)",경기
미금역사,"경기 성남시 분당구 성남대로 지하 156 (금곡동, 미금역)",경기
한국외대글로벌캠퍼스,"경기 용인시 처인구 모현읍 외대로 81 (왕산리, 한국외국어대학교글로벌캠퍼스)",경기
동두천캠프케이시,경기 동두천시 평화로 2573-1 (보산동),경기
진접홈플러스,"경기 남양주시 진접읍 금강로 1447 (장현리, 홈플러스)",경기
수원삼성전자R5,"경기 수원시 영통구 삼성로 129 (매탄동, 삼성전자)",경기
수원망포,"경기 수원시 영통구 영통로217번길 6 (영통동, 망포역 센타프라자)",경기
동수원,"경기 수원시 팔달구 경수대로 584 (인계동, 신동아 파스텔)",경기
상록수역,"경기 안산시 상록구 용신로 393 (본오동, 청암빌딩)",경기
수원역사,"경기 수원시 팔달구 덕영대로 924 (매산로1가, AK플라자)",경기
성남산성,"경기 성남시 수정구 수정로 291 (신흥동, 산성역포레스티아아파트)",경기
병점홈플러스,"경기 화성시 병점구 경기대로 985 (병점동, 홈플러스 병점점)",경기
화성병점,"경기 화성시 병점구 효행로 1059 (진안동, 미래프라자)",경기
원주무실,"강원 원주시 능라동길 51 (무실동, 시네시티타워)",강원
삼척중앙,강원 삼척시 남양동 32-44,강원
강원대병원,"강원 춘천시 백령로 156 (효자동, 강원대학교병원)",강원
동해천곡,"강원 동해시 천곡로 86-2 (천곡동, 대륜빌딩)",강원
양양쏠비치,강원 양양군 손양면 선사유적로 678 1층,강원
문막휴게소(하),"강원특별자치도 원주시 문막읍 원문로 1234 (동화리, 문막하행휴게소)",강원
강릉역사,"강원 강릉시 용지로 176 (교동, 강릉역)",강원
속초조양,"강원 인제군 인제읍 비봉로 43 (상동리, 하늘내린호텔) 0110, 111호",강원
내린천휴게소(하),강원 인제군 상남면 서울양양고속도로 117 (하남리),강원
원주태장,강원 원주시 태장동 692-2,강원
제천청전,"강원 원주시 지정면 신지정로 211 (가곡리), 160,161호",강원
강릉교동,"강원 강릉시 교동광장로 105 (교동), 1층",강원
델피노,"강원특별자치도 고성군 토성면 미시령옛길 1153 (원암리, 델피노골프&리조트) 소노문델피노 East (지하1층)",강원
춘천장학,강원특별자치도 춘천시 동면 춘천로449번길 30 (장학리),강원
원주세브란스병원,"강원특별자치도 원주시 일산로 20 (일산동, 원주세브란스기독병원)",강원
원주단계,"강원특별자치도 원주시 백간길 17-12 (단계동, 원주봉화산벨라시티2차아파트 상가동)",강원
양양,강원특별자치도 양양군 양양읍 양양로 73 (남문리),강원
원주혁신,강원특별자치도 원주시 혁신로 53 (반곡동),강원
평창휴게소(하),"강원특별자치도 평창군 용평면 경강로 2159-58 (이목정리, 평창하행휴게소)",강원
강원화천,"강원특별자치도 화천군 화천읍 상승로 41 (하리, 춘천축산농협 화천지점)",강원
춘천역,"강원특별자치도 춘천시 공지로 591 (근화동, 춘천역)",강원
원주휴게소(부산),"강원특별자치도 원주시 호저면 마근거리길 120 (옥산리, 원주(부산)휴게소)",강원
춘천롯데마트,"강원특별자치도 춘천시 방송길 84 (온의동, 롯데마트)",강원
죽암휴게소하행,"충북 청주시 서원구 현도면 경부고속도로 289 (선동리, 죽암휴게소 부산기점)",충북
충북청주대,충북 청주시 청원구 직지대로 880 (우암동),충북
청주하나로,충북 청주시 상당구 무농정로 32 (방서동),충북
괴산휴게소(하),"충북 괴산군 장연면 중부내륙고속도로 205 (오가리, 괴산마산휴게소)",충북
충북진천,충북 진천군 진천읍 상산로 81 (읍내리),충북
충주휴게소(마산방향),충북 충주시 중앙탑면 용전리 산 50-3 충주휴게소하행,충북
청주이마트,"충북 청주시 서원구 청남로 1853 (미평동, 이.마트) 지하2층",충북
충북도청,충북 청주시 상당구 상당로 73 1층 (북문로1가),충북
건국대충주병원,"충북 충주시 국원대로 82 (교현동, 건국대학교충주병원)",충북
충북증평,충북 증평군 증평읍 인삼로 73 (송산리) 103호,충북
충주호암,충북 충주시 호암토성2로 7 (호암동) 106호,충북
충주터미널,충북 충주시 봉계1길 49 (칠금동),충북
청주터미널,"충북 청주시 흥덕구 가경동 1449-3 청주터미널 1층 103,104호",충북
충북금왕,충북 음성군 금왕읍 무극로 255 (무극리),충북
청주신봉,충북 청주시 흥덕구 사운로 303 (신봉동),충북
청주동남지구,충북 청주시 상당구 중고개로 119 (용암동),충북
옥산휴게소(하),"충북 청주시 흥덕구 옥산면 경부고속도로 309 (오산리, 옥산휴게소 부산방향)",충북
오창휴게소하행,"충북 청주시 청원구 오창읍 중부고속도로 21 (화산리, 오창휴게소 통영기점)",충북
충북오창,충북 청주시 청원구 오창읍 중심상업로 7 (양청리),충북
오송역사,"충북 청주시 흥덕구 오송읍 오송가락로 123 (봉산리, 오송역)",충북
충북혁신,충북 음성군 맹동면 대하2나길 6 (두성리),충북
충북옥천,"충북 옥천군 옥천읍 삼금로 39 (금구리, 의원)",충북
청주가경,"충북 청주시 흥덕구 가경로 9-9 (가경동, 그린프라자)",충북
제천하소,충북 제천시 용두대로15가길 3 (하소동),충북
옥천휴게소(부산),충북 옥천군 옥천읍 서대구일로 265-19 (매화리),충북
충남홍성,"충남 홍성군 홍성읍 내포로 8 (오관리, 하나크리닉센터)",충남
충남서천,충남 서천군 서천읍 서천로 97 (군사리),충남
논산터미널,충남 논산시 계백로 1000 (취암동),충남
아산충무병원,충남 아산시 문화로 381 (모종동),충남
천안청수,충남 천안시 동남구 청수4로 18 (청당동) 1층 105호 (청당동),충남
예산휴게소(상),"충남 예산군 신양면 당진영덕고속도로 33 (서계양리, 예산휴게소 상행)",충남
충남도청,"충남 홍성군 홍북읍 청사로174번길 2 (신경리, 한승갤러리)",충남
당진기지시,충남 당진시 서해로 6275 (시곡동),충남
충남계룡,"충남 계룡시 엄사면 엄사중앙로 66 (엄사리, 성원아파트)",충남
서산예천,"충남 서산시 호수공원12로 18 (예천동, 하늘사랑)",충남
충남태안,충남 태안군 태안읍 후곡로 132 (동문리),충남
행담도휴게소,충남 당진시 신평면 서해안고속도로 275 (매산리),충남
이인휴게소,"충남 공주시 이인면 논산천안고속도로 32 (이인리, 이인상행휴게소)",충남
서산동문,충남 서산시 고운로 251 (동문동),충남
천안신부,"충남 천안시 동남구 만남로 43,고속버스터미널A동1층(신부동)",충남
천안터미널,"충남 천안시 동남구 만남로 43 (신부동, 신세계백화점천안아산점천안종합버스터미널)",충남
천안신방,"충남 천안시 서북구 충무로 178 (쌍용동, U CITY타워) 1층",충남
인삼랜드휴게소(상),"충남 금산군 군북면 대암길 34-30 (외부리, 금산인삼랜드(주))",충남
아산탕정역,충남 아산시 탕정면 한들물빛6로 46 (매곡리),충남
아산배방,충남 아산시 배방읍 모산로 97 (공수리) 1층,충남
서산휴게소(상),"충남 서산시 해미면 서해안고속도로 242 (삼송리, 서산상휴게소)",충남
천안백석,충남 천안시 서북구 한들3로 78-3 (백석동),충남
천안성성,충남 천안시 서북구 성성8로 14-5 (성성동),충남
공주터미널,충남 공주시 신관로 74 (신관동),충남
천안휴게소,"충남 천안시 동남구 수신면 성남로 793-40 (신풍리, 천안휴게소)",충남
입장휴게소,"충남 천안시 서북구 입장면 연곡길 407 (가산리, 입장휴게소)",충남
보령동대,"충남 보령시 한내로터리길 65 (동대동, 정인빌딩)",충남
충남금산,충남 금산군 금산읍 비단로 297 (상리),충남
탄천휴게소,"충남 공주시 탄천면 논산천안고속도로 27 (장선리, 탄천하행휴게소)",충남
망향휴게소,"충남 천안시 서북구 성거읍 돌다리길 23-37 (요방리, 망향휴게소)",충남
천안역사,"충남 천안시 동남구 대흥로 239 (대흥동, 천안역)",충남
천안순천향대병원,충남 천안시 동남구 순천향4길 40 (봉명동),충남
아산탕정,충남 아산시 탕정면 탕정면로 54-3 (갈산리),충남
전북고창,"전북 고창군 고창읍 중앙로 238 (읍내리, 현대서점)",전북
전주고속터미널,"전북 전주시 덕진구 가리내로 70 (금암동, 전주고속버스터미널)",전북
익산영등,"전북 익산시 무왕로15길 5-14 (영등동, 엘르)",전북
전주아중,"전북 전주시 덕진구 무삼지로 76 (인후동1가, 마트앤마트)",전북
전주효자홈플러스,"전북 전주시 완산구 용머리로 31 (효자동1가, 홈플러스 1층)",전북
군산조촌,"전북 군산시 궁포1로 24-9 (조촌동, 엔비빌딩)",전북
전주송천,전북특별자치도 전주시 덕진구 송천중앙로 153 (송천동1가),전북
전주평화,"전북 전주시 완산구 모악로 4688 (평화동2가, 미주치과) 1층 F106호",전북
전주대,전북 전주시 완산구 서원로 66 (효자동2가) 1층,전북
부안성모병원,"전북 부안군 부안읍 수정길 19 (봉덕리, 돼지야놀자)",전북
전주혁신의료타워,전북 완주군 이서면 갈산로 46 (갈산리),전북
정읍상동,전북 정읍시 상동 83-4,전북
익산역,"전북 익산시 익산대로 153 (창인동2가, 익산역)",전북
전주에코,전북 전주시 덕진구 세병로 28 (송천동2가),전북
군산롯데마트,"전북특별자치도 군산시 수송로 185 (수송동, 롯데마트)",전북
전주이마트,"전북특별자치도 전주시 완산구 당산로 111 (서신동, E마트)",전북
정읍역사,"전북특별자치도 정읍시 서부산업도로 305 (연지동, 정읍역)",전북
군산에어베이스,전북특별자치도 군산시 옥서면 산동길 2 (선연리),전북
군산나운,전북특별자치도 군산시 상신5길 2 (나운동),전북
전주효천,전북특별자치도 전주시 완산구 천잠로 145 (효자동2가),전북
군산이마트,"전북특별자치도 군산시 구암3.1로 137 (경암동, 이마트)",전북
동군산병원,"전북특별자치도 군산시 조촌로 149 (조촌동, 동군산병원)",전북
전북김제,전북특별자치도 김제시 검산택지1길 67-10 (검산동),전북
광양읍,전남 광양시 광양읍 희양현로 55 (읍내리),전남
목포기독병원,전남 목포시 상동 828-1,전남
무안남악롯데마트,"전남 무안군 삼향읍 남악로162번길 80 (남악리), 1층",전남
순천터미널,"전남 순천시 장천3길 13, 1층(장천동)",전남
목포용해,전남 목포시 용해지구로 61 (연산동),전남
광양중마,전남 광양시 중마중앙로 60-1 (중동),전남
순천용당,전남 순천시 용당삼산로 11 (용당동) 1층,전남
순천신대,"전남 순천시 해룡면 향매로 69, 1",전남
순천조례,전남 순천시 신월큰길 23 (조례동),전남
여수웅천,"전남 여수시 예울마루로 37-26 (웅천동), 102호",전남
전남화순,"전남 화순군 화순읍 광덕로 204 (만연리, 화순 부영아파트)",전남
여수이마트,"전남 여수시 좌수영로 277 (오림동, 이마트)",전남
나주혁신,전남 나주시 전력로 2 (빛가람동),전남
여천제일병원,전남 여수시 학동1길 26 (학동),전남
남악도청,"전남 무안군 삼향읍 대죽서로 25-14 (남악리), 렉스리움 오피스텔 1층",전남
여수롯데마트,"전남 여수시 국포1로 36 (국동, 롯데마트), 1층",전남
나주역,"전남 나주시 나주역길 56 (송월동, 나주역)",전남
목포케이블고하도,전남 목포시 고하도안길 186 (달동),전남
구미인동,경북 구미시 인동중앙로6길 1 (인의동),경북
문경중앙,경북 문경시 호서로 9 (점촌동),경북
상주터미널,경북 상주시 삼백로 85 (무양동),경북
영주가흥,경북 영주시 대동로 20 (가흥동),경북
경산세명병원,경북 경산시 경안로 208 (중방동),경북
경산꿈나무,경북 경산시 중산동 488 중산동의료시설 104호,경북
구미북삼,경북 구미시 금오대로5길 3 (오태동) 1층,경북
포항효자,경북 포항시 남구 효자동 576-11,경북
포항역사,"경북 포항시 북구 흥해읍 포항역로 1 (이인리, 포항역)",경북
한국도로공사본사,"경북 김천시 혁신8로 77 (율곡동, 한국도로공사)",경북
구미형곡,"경북 구미시 신시로 77 (형곡동), 1층 104호",경북
김천신음,"경북 김천시 부거리길 8 (신음동), 1층",경북
문경제일병원,경북 문경시 당교3길 25 (모전동) 문경제일병원 1층,경북
경주시청,경북 경주시 양정로 263 (동천동),경북
경주용황,경북 경주시 용황로10길 16-8 (용강동),경북
구미확장,경북 구미시 산동읍 신당1로3길 19 (신당리),경북
구미옥계,"경북 구미시 옥계북로 36 (옥계동, 메디칼타워)",경북
구미롯데마트,"경북 구미시 구미대로22길 11 (신평동, 롯데마트구미점)",경북
김천구미역사,"경북 김천시 남면 혁신1로 51 (옥산리, 김천(구미)역)",경북
경북의성,경북 의성군 의성읍 문소3길 52 (후죽리),경북
구미순천향대병원,"경북 구미시 1공단로 179 (공단동, 구미순천향병원)",경북
경북왜관,경북 칠곡군 왜관읍 중앙로 98-1 (왜관리),경북
안동옥동,경북 안동시 광명로 193 (옥동),경북
포항문덕,경북 포항시 남구 오천읍 원동로 17 (문덕리),경북
경산하양,경북 경산시 하양읍 하양로 34 (금락리),경북
문경휴게소(하),"경북 문경시 중부내륙고속도로 173 (유곡동, 문경마산방향휴게소)",경북
구미봉곡,경북 구미시 봉곡로 96 (봉곡동),경북
경산역사,"경북 경산시 중앙로 1 (사정동, 경산역)",경북
울진덕구온천,"경북 울진군 북면 덕구온천로 924 (덕구리, 덕구온천관광호텔)",경북
경산휴게소,경북 경산시 진량읍 대학로 1089 (신상리),경북
진주대안,경남 진주시 진주대로 1053 (대안동),경남
통영중앙,경남 통영시 중앙로 122 (항남동),경남
마산삼계,"경남 창원시 마산회원구 내서읍 삼계로 6 (삼계리, 삼계스포렉스 빌딩) 110호",경남
진주인벤스,"경남 진주시 향교로 3 (평안동, 롯데인벤스)",경남
양산물금,"경남 양산시 물금읍 범어로 46 (범어리, 토건부동산)",경남
진주휴게소,"경남 진주시 남해고속도로 194 (호탄동, 진주휴게소)",경남
창원팔용,경남 창원시 의창구 팔용로 449 (팔용동),경남
진해석동,"경남 창원시 진해구 냉천로 63 (석동, city&country), 1층 101호",경남
경남고성,경남 고성군 고성읍 동외로 157 (동외리),경남
거제고현,"경남 거제시 장평로 12 (장평동, 디큐브백화점) 지하 1층",경남
마산양덕,"경남 창원시 마산회원구 율림교로 6 (양덕동, 메트로스퀘어6) 116",경남
진주혁신,경남 진주시 사들로 42 (충무공동) 1층 106호,경남
김해율하,경남 김해시 율하6로 60 (장유동),경남
양산석산,경남 양산시 동면 금오13길 54 (석산리) 101-5호,경남
거제아주,경남 거제시 아주1로 66 (아주동),경남
김해터미널,경남 김해시 외동 1264,경남
마산합성,"경남 창원시 마산회원구 3.15대로 750 (합성동, 마산시외버스터미널), A1동 1층",경남
진주평거퀸즈웰가,"경남 진주시 새평거로 25 상가2동 104호 (평거동, 더 퀸즈웰가)",경남
양산증산,"경남 양산시 물금읍 증산역로 135 (가촌리), 1층116호(퍼스트조양)",경남
양산사송,경남 양산시 동면 내송내안2길 35 (내송리),경남
창원한마음병원,경남 창원시 의창구 사림동 162-4 시그니처M 101호,경남
장유여객터미널(휴점),경남 김해시 무계로 56 (무계동),경남
진주평거,"경남 진주시 진양호로 206 (평거동, BYC 진주빌딩)",경남
양산덕계,경남 양산시 덕계로 61 (덕계동),경남
제주송악산,제주특별자치도 서귀포시 대정읍 형제해안로 322번지,제주
제주탑동,제주특별자치도 제주시 탑동로 24 (삼도이동),제주
제주한마음병원,"제주특별자치도 제주시 연신로 52 (이도2동, 한마음병원)",제주
제주한화아쿠아,"제주특별자치도 서귀포시 성산읍 섭지코지로 95 (고성리, Aqua Planet Jeju)",제주
제주화북,제주특별자치도 제주시 화북일동 1989,제주
제주삼화,"제주특별자치도 제주시 건주로4길 6-4 (도련일동, 제주 아빌로스)",제주
제주신화월드,제주특별자치도 서귀포시 안덕면 서광리 산 24,제주
제주시청,제주특별자치도 제주시 중앙로 216 (이도이동),제주
서귀포혁신,"제주특별자치도 서귀포시 신서로48번길 31 (강정동, 명성 클리닉 빌딩)",제주
제주연동,제주특별자치도 제주시 국기로 17 (연동),제주
제주아라,제주특별자치도 제주시 중앙로 504 (아라일동),제주
서귀포동홍,제주특별자치도 서귀포시 동홍중앙로 77 (동홍동),제주
신제주,제주특별자치도 제주시 노형8길 17 (노형동),제주
(B2B)제주뽀로로타요 테마파크_거래중,제주특별자치도 서귀포시 안덕면 쇠물도로 14 (창천리),제주
서귀포광장,제주특별자치도 서귀포시 중앙로 88 (서귀동),제주
